id = 999
editor = JSAG

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = arXiv:9999.99999
inspiretex = Alvarado:2026saf


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2026 ALU
#                               error
# Q2    xB    -t   phi  ALU   stat  syst
#########################################
1.443 0.292 0.713873 34.1 0.0003 0.0299 0.0240
1.447 0.292 0.691901 56.1 0.0348 0.0320 0.0128
1.454 0.294 0.63944 78.8 0.0932 0.0312 0.0289
1.450 0.294 0.63144 101.3 0.0095 0.0311 0.0207
1.455 0.293 0.581444 122.7 0.0481 0.0332 0.0061
1.477 0.290 0.509687 143.8 0.0180 0.0504 0.0251
1.518 0.285 0.48079 168.0 -0.0350 0.0739 0.0318
1.512 0.286 0.487779 192.4 -0.0274 0.0718 0.0281
1.480 0.291 0.510476 214.7 0.0599 0.0509 0.0131
1.459 0.293 0.602727 237.5 -0.0531 0.0353 0.0331
1.449 0.293 0.645964 258.9 -0.0137 0.0306 0.0243
1.445 0.293 0.651871 281.8 -0.0758 0.0297 0.0228
1.440 0.292 0.673084 304.0 -0.0291 0.0258 0.0246
1.439 0.291 0.727256 325.8 0.0050 0.0252 0.0205
1.445 0.294 0.622238 349.9 -0.0347 0.0332 0.0245
1.434 0.292 0.318451 11.1 0.0609 0.0309 0.0044
1.440 0.294 0.314044 33.0 0.0251 0.0371 0.0192
1.441 0.295 0.312893 55.9 0.0647 0.0440 0.0115
1.428 0.294 0.318421 78.3 0.0188 0.0447 0.0254
1.425 0.294 0.316728 101.6 0.0940 0.0529 0.0262
1.420 0.294 0.319177 123.8 0.0429 0.0454 0.0197
1.416 0.294 0.318106 145.8 0.0910 0.0459 0.0355
1.437 0.295 0.311954 167.8 0.1452 0.0522 0.0307
1.446 0.295 0.314283 191.4 -0.0585 0.0491 0.0271
1.417 0.294 0.321676 213.6 -0.0269 0.0482 0.0332
