id = 999
editor = JSAG

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = arXiv:9999.99999
inspiretex = Alvarado:2026saf


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2026 ALU
#                               error
# Q2    xB    -t   phi  ALU   stat  syst
#########################################
1.99 0.178 0.035 191.7 -0.0768 0.0888 0.009
2.005 0.178 0.035 213.6 -0.1241 0.0833 0.0154
2.001 0.178 0.035 236 -0.1092 0.0808 0.0093
2.026 0.178 0.0350006 258.5 -0.1295 0.0805 0.0081
2.03 0.177 0.035 281.2 -0.3677 0.0762 0.0186
1.971 0.177 0.035 326.8 -0.0591 0.0738 0.0217
1.995 0.178 0.0349676 348.7 -0.0427 0.067 0.0296
1.981 0.285 0.105663 11.1 0.0362 0.0558 0.0232
1.999 0.285 0.1062 78.3 0.152 0.0655 0.025
1.995 0.286 0.105656 101.1 0.06 0.0713 0.013
1.988 0.285 0.105016 123.8 -0.0805 0.0712 0.0158
1.974 0.285 0.105179 146 0.1151 0.0721 0.0176
1.979 0.287 0.105001 168.7 0.0336 0.0732 0.0315
1.976 0.285 0.105077 190.7 -0.0582 0.072 0.0295
1.991 0.285 0.104468 213.8 -0.0891 0.0714 0.019
1.977 0.287 0.104823 235.9 -0.057 0.0709 0.0253
1.963 0.286 0.10477 259.2 -0.1476 0.0716 0.031
1.986 0.286 0.106199 281.3 -0.1079 0.0687 0.0144
1.98 0.285 0.105112 326.4 -0.159 0.0608 0.0185
1.998 0.286 0.106352 349.3 0.0377 0.0563 0.01
2.505 0.162 0.094363 10.9 0.0011 0.0199 0.0037
2.506 0.162 0.0945565 32.8 0.0578 0.0233 0.004
2.515 0.161 0.0939343 54.4 0.1509 0.0354 0.0042
2.51 0.159 0.090697 73.9 0.0466 0.0881 0.0078
2.484 0.165 0.0952882 103.8 0.1172 0.1454 0.0099
2.504 0.164 0.0934656 125.1 0.1704 0.1002 0.0103
2.521 0.163 0.094751 145.8 0.1907 0.0813 0.0062
2.531 0.161 0.0934065 168.2 -0.0085 0.0893 0.0088
2.521 0.162 0.0935436 189.6 -0.0231 0.0952 0.0056
2.485 0.165 0.0893015 212.5 0.13 0.1372 0.0038
2.481 0.164 0.0853973 234.6 0.0508 0.2434 0.0084
2.598 0.164 0.1025 261.7 0.5475 0.4797 0.0156
2.521 0.158 0.0904386 286.7 -0.2563 0.0846 0.0075
2.515 0.161 0.0942971 306.2 -0.1571 0.0343 0.0043
2.505 0.162 0.0948569 327.2 -0.049 0.0234 0.0039
2.502 0.162 0.0944282 348.9 -0.0268 0.0204 0.0038
2.509 0.162 0.0561372 11.1 0.0357 0.0301 0.0045
2.511 0.162 0.0554791 33 0.1338 0.033 0.0044
2.516 0.16 0.0561673 54.4 0.1084 0.0499 0.0035
